iyear,imonth,iday,region_txt,country_txt,latitude,longitude,nwound,nkill
2001,11,10,South America,Colombia,1.61456,-75.6053,0.0,2.0
2001,11,11,South America,Colombia,8.57451,-73.09339,0.0,0.0
2001,11,11,South America,Colombia,7.946283,-72.898807,0.0,0.0
2001,11,14,North America,United States,41.439769,-73.126816,0.0,1.0
2001,11,15,South America,Colombia,3.88182,-77.07042,1.0,2.0
2001,11,18,South America,Colombia,7.198606,-75.341218,0.0,0.0
2001,11,18,South America,Colombia,3.173882,-76.259454,3.0,10.0
2001,11,0,South America,Chile,-33.366238,-70.505302,0.0,0.0
2001,11,21,South America,Colombia,3.52721,-74.02371,0.0,1.0
2001,11,22,South America,Colombia,8.173611,-76.059167,0.0,6.0
2001,11,24,South America,Colombia,5.420595,-75.702686,0.0,3.0
2001,11,22,South America,Colombia,8.173611,-76.059167,0.0,12.0
2001,11,28,South America,Colombia,5.865618,-75.534273,0.0,7.0
2001,11,30,South America,Colombia,10.413711,-75.533549,0.0,2.0
2001,12,3,South America,Colombia,5.445543,-75.688443,2.0,1.0
2001,12,3,South America,Colombia,11.242035,-74.205384,0.0,1.0
2001,12,9,South America,Colombia,6.17215,-75.609571,0.0,0.0
2001,12,9,South America,Colombia,6.242026,-75.564766,0.0,0.0
2001,12,10,South America,Colombia,11.544088,-72.90688,0.0,0.0
2001,12,12,South America,Colombia,9.24605,-74.7595,0.0,0.0
